e,PDF_a1,PDF_a2,PDF_a10
0.15151515151515149,2.5,1.5977961432506897,0.0040773646126949425
0.15555555555555556,2.5,1.4814814814814818,0.002065157967280116
0.15959595959595957,2.5,1.3621059075604538,0.00096958328780136183
0.16363636363636364,2.5,1.2396694214876036,0.00041537488235583557
0.16767676767676765,2.5,1.1141720232629331,0.00015894888113354648
0.17171717171717171,2.5,0.98561371288644017,5.2728797550837249e-05
0.17575757575757572,2.5,0.85399449035812758,1.4513857401060223e-05
0.17979797979797979,2.5,0.71931435567799196,3.097103955021787e-06
0.1838383838383838,2.5,0.58157330884603831,4.572223283633857e-07
0.18787878787878787,2.5,0.44077134986226013,3.7723106629920291e-08
0.19191919191919193,2.5,0.29690847872666087,1.0771858274257785e-09
0.19595959595959594,2.5,0.14998469543924178,2.3073301582298103e-12
