e,PDF1,PDF2,PDF3
-0.092592592592592601,5.0,1.0699588477366249,4.3127167611284376e-07
-0.0923923923923924,5.0,1.0977343710076441,5.4315355988924656e-07
-0.092192192192192199,5.0,1.1254497740984226,6.7980183465000718e-07
-0.091991991991991998,5.0,1.1531050570089607,8.4579898223347354e-07
-0.091791791791791796,5.0,1.1807002197392586,1.0464152588381509e-06
-0.091591591591591595,5.0,1.2082352622893167,1.2876885241849755e-06
-0.091391391391391394,5.0,1.2357101846591341,1.5765106263752039e-06
-0.091191191191191193,5.0,1.2631249868487111,1.9207206446074349e-06
-0.090990990990990991,5.0,1.2904796688580478,2.3292052913605111e-06
-0.09079079079079079,5.0,1.3177742306871445,2.8120067744036173e-06
-0.090590590590590603,5.0,1.3450086723359989,3.3804384170634074e-06
-0.090390390390390402,5.0,1.3721829938046144,4.0472083325656691e-06
-0.0901901901901902,5.0,1.3992971950929902,4.8265514449788594e-06
-0.089989989989989999,5.0,1.426351276201125,5.734370145330221e-06
-0.089789789789789798,5.0,1.4533452371290203,6.7883838668443002e-06
-0.089589589589589597,5.0,1.480279077876675,8.0082878579835945e-06
-0.089389389389389395,5.0,1.5071527984440902,9.4159214260582076e-06
-0.089189189189189194,5.0,1.5339663988312637,1.1035445917628132e-05
-0.088988988988988993,5.0,1.5607198790381982,1.289353269476288e-05
-0.088788788788788792,5.0,1.5874132390648916,1.5019561358456604e-05
-0.08858858858858859,5.0,1.614046478911344,1.7445828462143915e-05
-0.088388388388388389,5.0,1.6406195985775569,2.0207766949330872e-05
-0.088188188188188188,5.0,1.667132598063529,2.3344176539865069e-05
-0.087987987987987987,5.0,1.6935854773692622,2.6897465279339257e-05
-0.087787787787787785,5.0,1.7199782364947538,3.0913902455561032e-05
-0.087587587587587598,5.0,1.7463108754400039,3.5443883074957111e-05
-0.087387387387387397,5.0,1.7725833942050147,4.0542204080224744e-05
-0.087187187187187196,5.0,1.798795792789786,4.6268352478509953e-05
-0.086986986986986994,5.0,1.8249480711943167,5.2686805536920184e-05
-0.086786786786786793,5.0,1.8510402294186081,5.986734318925995e-05
-0.086586586586586592,5.0,1.8770722674626577,6.788537278455914e-05
-0.086386386386386391,5.0,1.9030441853264684,7.682226629423962e-05
-0.086186186186186189,5.0,1.928955983010038,8.6765710080685522e-05
-0.085985985985985988,5.0,1.9548076605133671,9.781006731554001e-05
-0.085785785785785787,5.0,1.9805992178364562,0.00011005675312127883
-0.085585585585585586,5.0,2.0063306549793039,0.00012361462249454595
-0.085385385385385384,5.0,2.0320019719419125,0.00013860037105435966
-0.085185185185185197,5.0,2.0576131687242794,0.00015513894864267952
-0.084984984984984996,5.0,2.0831642453264063,0.0001733639857889493
-0.084784784784784795,5.0,2.1086552017482938,0.00019341823303412815
-0.084584584584584593,5.0,2.1340860379899418,0.00021545401309344819
-0.084384384384384392,5.0,2.1594567540513485,0.00023963368582064786
-0.084184184184184191,5.0,2.1847673499325149,0.00026613012591979266
-0.08398398398398399,5.0,2.2100178256334408,0.00029512721333406803
-0.083783783783783788,5.0,2.2352081811541264,0.00032682033622398997
-0.083583583583583587,5.0,2.2603384164945726,0.00036141690643058677
-0.083383383383383386,5.0,2.2854085316547788,0.00039913688730195768
-0.083183183183183185,5.0,2.3104185266347437,0.00044021333374465827
-0.082982982982982983,5.0,2.3353684014344682,0.00048489294434409934
-0.082782782782782782,5.0,2.3602581560539528,0.00053343662538112414
-0.082582582582582581,5.0,2.3850877904931971,0.00058612006655473891
-0.08238238238238238,5.0,2.4098573047522001,0.00064323432820396261
-0.082182182182182179,5.0,2.4345666988309644,0.00070508643980464133
-0.081981981981981991,5.0,2.4592159727294862,0.00077200000950014243
-0.08178178178178179,5.0,2.4838051264477681,0.00084431584440810062
-0.081581581581581589,5.0,2.5083341599858109,0.00092239258142832266
-0.081381381381381387,5.0,2.5328030733436133,0.0010066073282607162
-0.081181181181181186,5.0,2.5572118665211754,0.0010973563143253078
-0.080980980980980985,5.0,2.5815605395184975,0.0011950555512602703
-0.080780780780780784,5.0,2.6058490923355797,0.0013001415026577521
-0.080580580580580582,5.0,2.6300775249724193,0.0014130717626811703
-0.080380380380380381,5.0,2.6542458374290212,0.0015343257431923352
-0.08018018018018018,5.0,2.6783540297053814,0.0016644053690006962
-0.079979979979979993,5.0,2.7024021018015003,0.0018038357808324785
-0.079779779779779791,5.0,2.7263900537173802,0.0019531660456018484
-0.07957957957957959,5.0,2.7503178854530188,0.0021129698735520633
-0.079379379379379389,5.0,2.7741855970084184,0.0022838463418199196
-0.079179179179179188,5.0,2.7979931883835785,0.0024664206239628983
-0.078978978978978986,5.0,2.8217406595784964,0.0026613447249744589
-0.078778778778778785,5.0,2.8454280105931753,0.0028692982212998263
-0.078578578578578584,5.0,2.8690552414276138,0.0030909890053513753
-0.078378378378378383,5.0,2.892622352081812,0.0033271540340098515
-0.078178178178178181,5.0,2.9161293425557697,0.0035785600805859721
-0.07797797797797798,5.0,2.9395762128494862,0.0038460044897042768
